volumeId,volumeName,volumeYear
jv0,journal0,2006
jv1,journal1,2020
jv2,journal2,2014
jv3,journal3,2019
jv4,journal4,2003
jv5,journal5,2020
jv6,journal6,2010
jv7,journal7,2001
jv8,journal8,2019
jv9,journal9,2011
jv10,journal10,2021
jv11,journal11,2011
jv12,journal12,2003
jv13,journal13,2013
jv14,journal14,2020
jv15,journal15,2012
jv16,journal16,2010
jv17,journal17,2020
jv18,journal18,2006
jv19,journal19,2008
jv20,journal20,2006
jv21,journal21,2010
jv22,journal22,2004
jv23,journal23,2018
jv24,journal24,2002
jv25,journal25,2008
jv26,journal26,2019
jv27,journal27,2003
jv28,journal28,2014
jv29,journal29,2007
jv30,journal30,2019
jv31,journal31,2019
jv32,journal32,2015
jv33,journal33,2019
jv34,journal34,2001
jv35,journal35,2013
jv36,journal36,2007
jv37,journal37,2011
jv38,journal38,2019
jv39,journal39,2007
jv40,journal40,2017
jv41,journal41,2019
jv42,journal42,2011
jv43,journal43,2002
jv44,journal44,2022
jv45,journal45,2019
jv46,journal46,2002
jv47,journal47,2002
jv48,journal48,2019
jv49,journal49,2012
jv50,journal50,2013
jv51,journal51,2011
jv52,journal52,2020
jv53,journal53,2021
jv54,journal54,2006
jv55,journal55,2006
jv56,journal56,2004
jv57,journal57,2020
jv58,journal58,2012
jv59,journal59,2006
jv60,journal60,2001
jv61,journal61,2018
jv62,journal62,2017
jv63,journal63,2012
jv64,journal64,2003
jv65,journal65,2013
jv66,journal66,2015
jv67,journal67,2019
jv68,journal68,2012
jv69,journal69,2002
jv70,journal70,2005
jv71,journal71,2015
jv72,journal72,2016
jv73,journal73,2020
jv74,journal74,2015
jv75,journal75,2015
jv76,journal76,2020
jv77,journal77,2006
jv78,journal78,2012
jv79,journal79,2014
jv80,journal80,2011
jv81,journal81,2018
jv82,journal82,2017
jv83,journal83,2015
jv84,journal84,2013
jv85,journal85,2007
jv86,journal86,2004
jv87,journal87,2014
jv88,journal88,2021
jv89,journal89,2005
jv90,journal90,2002
jv91,journal91,2006
jv92,journal92,2021
jv93,journal93,2021
jv94,journal94,2007
jv95,journal95,2019
jv96,journal96,2014
jv97,journal97,2012
jv98,journal98,2018
jv99,journal99,2013
jv100,journal100,2002
jv101,journal101,2020
jv102,journal102,2002
jv103,journal103,2006
jv104,journal104,2010
jv105,journal105,2008
jv106,journal106,2002
jv107,journal107,2019
jv108,journal108,2006
jv109,journal109,2004
jv110,journal110,2021
jv111,journal111,2019
jv112,journal112,2012
jv113,journal113,2006
jv114,journal114,2010
jv115,journal115,2002
jv116,journal116,2013
jv117,journal117,2020
jv118,journal118,2014
jv119,journal119,2003
jv120,journal120,2012
jv121,journal121,2007
jv122,journal122,2016
jv123,journal123,2006
jv124,journal124,2006
jv125,journal125,2013
jv126,journal126,2015
jv127,journal127,2011
jv128,journal128,2002
jv129,journal129,2006
jv130,journal130,2006
jv131,journal131,2019
jv132,journal132,2014
jv133,journal133,2005
jv134,journal134,2017
jv135,journal135,2021
jv136,journal136,2013
jv137,journal137,2004
jv138,journal138,2013
jv139,journal139,2004
jv140,journal140,2008
jv141,journal141,2004
jv142,journal142,2014
jv143,journal143,2021
jv144,journal144,2010
jv145,journal145,2010
jv146,journal146,2018
jv147,journal147,2021
jv148,journal148,2004
jv149,journal149,2012
jv150,journal150,2017
jv151,journal151,2020
jv152,journal152,2016
jv153,journal153,2020
jv154,journal154,2008
jv155,journal155,2018
jv156,journal156,2010
jv157,journal157,2001
jv158,journal158,2022
jv159,journal159,2006
jv160,journal160,2022
jv161,journal161,2013
jv162,journal162,2008
jv163,journal163,2004
jv164,journal164,2017
jv165,journal165,2021
jv166,journal166,2016
jv167,journal167,2004
jv168,journal168,2019
jv169,journal169,2013
jv170,journal170,2019
jv171,journal171,2007
jv172,journal172,2010
jv173,journal173,2012
jv174,journal174,2003
jv175,journal175,2007
jv176,journal176,2020
jv177,journal177,2018
jv178,journal178,2017
jv179,journal179,2001
jv180,journal180,2003
jv181,journal181,2013
jv182,journal182,2002
jv183,journal183,2001
jv184,journal184,2021
jv185,journal185,2014
jv186,journal186,2011
jv187,journal187,2006
jv188,journal188,2002
jv189,journal189,2012
jv190,journal190,2011
jv191,journal191,2021
jv192,journal192,2016
jv193,journal193,2006
jv194,journal194,2001
jv195,journal195,2007
jv196,journal196,2005
jv197,journal197,2010
jv198,journal198,2007
jv199,journal199,2008
jv200,journal200,2008
jv201,journal201,2013
jv202,journal202,2020
jv203,journal203,2018
jv204,journal204,2019
jv205,journal205,2020
jv206,journal206,2014
jv207,journal207,2018
jv208,journal208,2001
jv209,journal209,2005
jv210,journal210,2001
jv211,journal211,2004
jv212,journal212,2001
jv213,journal213,2002
jv214,journal214,2022
jv215,journal215,2006
jv216,journal216,2004
jv217,journal217,2013
jv218,journal218,2003
jv219,journal219,2001
jv220,journal220,2022
jv221,journal221,2014
jv222,journal222,2022
jv223,journal223,2006
jv224,journal224,2020
jv225,journal225,2014
jv226,journal226,2002
jv227,journal227,2018
jv228,journal228,2006
jv229,journal229,2002
jv230,journal230,2013
jv231,journal231,2019
jv232,journal232,2015
jv233,journal233,2015
jv234,journal234,2011
jv235,journal235,2006
jv236,journal236,2002
jv237,journal237,2013
jv238,journal238,2021
jv239,journal239,2015
jv240,journal240,2016
jv241,journal241,2012
jv242,journal242,2022
jv243,journal243,2003
jv244,journal244,2005
jv245,journal245,2009
jv246,journal246,2009
jv247,journal247,2006
jv248,journal248,2003
jv249,journal249,2015
jv250,journal250,2001
jv251,journal251,2005
jv252,journal252,2009
jv253,journal253,2003
jv254,journal254,2017
jv255,journal255,2010
jv256,journal256,2005
jv257,journal257,2004
jv258,journal258,2018
jv259,journal259,2004
jv260,journal260,2010
jv261,journal261,2020
jv262,journal262,2011
jv263,journal263,2001
jv264,journal264,2019
jv265,journal265,2009
jv266,journal266,2021
jv267,journal267,2017
jv268,journal268,2014
jv269,journal269,2017
jv270,journal270,2005
jv271,journal271,2002
jv272,journal272,2021
jv273,journal273,2002
jv274,journal274,2020
jv275,journal275,2002
jv276,journal276,2021
jv277,journal277,2007
jv278,journal278,2018
jv279,journal279,2001
jv280,journal280,2007
jv281,journal281,2005
jv282,journal282,2010
jv283,journal283,2014
jv284,journal284,2005
jv285,journal285,2001
jv286,journal286,2012
jv287,journal287,2017
jv288,journal288,2022
jv289,journal289,2004
jv290,journal290,2016
jv291,journal291,2010
jv292,journal292,2015
jv293,journal293,2015
jv294,journal294,2006
jv295,journal295,2021
jv296,journal296,2005
jv297,journal297,2001
jv298,journal298,2013
jv299,journal299,2020
jv300,journal300,2005
jv301,journal301,2015
jv302,journal302,2022
jv303,journal303,2006
jv304,journal304,2011
jv305,journal305,2017
jv306,journal306,2022
jv307,journal307,2016
jv308,journal308,2005
jv309,journal309,2002
jv310,journal310,2016
jv311,journal311,2019
jv312,journal312,2013
jv313,journal313,2006
jv314,journal314,2016
jv315,journal315,2009
jv316,journal316,2007
jv317,journal317,2016
jv318,journal318,2017
jv319,journal319,2012
jv320,journal320,2021
jv321,journal321,2019
jv322,journal322,2018
jv323,journal323,2013
jv324,journal324,2005
jv325,journal325,2021
jv326,journal326,2011
jv327,journal327,2011
jv328,journal328,2005
jv329,journal329,2002
jv330,journal330,2015
jv331,journal331,2002
jv332,journal332,2022
jv333,journal333,2011
jv334,journal334,2017
jv335,journal335,2017
jv336,journal336,2002
jv337,journal337,2013
jv338,journal338,2020
jv339,journal339,2003
jv340,journal340,2002
jv341,journal341,2005
jv342,journal342,2002
jv343,journal343,2001
jv344,journal344,2012
jv345,journal345,2014
jv346,journal346,2008
jv347,journal347,2022
jv348,journal348,2016
jv349,journal349,2019
jv350,journal350,2022
jv351,journal351,2003
jv352,journal352,2004
jv353,journal353,2003
jv354,journal354,2012
jv355,journal355,2015
jv356,journal356,2014
jv357,journal357,2010
jv358,journal358,2006
jv359,journal359,2005
jv360,journal360,2021
jv361,journal361,2013
jv362,journal362,2018
jv363,journal363,2018
jv364,journal364,2007
jv365,journal365,2022
jv366,journal366,2008
jv367,journal367,2005
jv368,journal368,2013
jv369,journal369,2007
jv370,journal370,2017
jv371,journal371,2020
jv372,journal372,2016
jv373,journal373,2022
jv374,journal374,2022
jv375,journal375,2013
jv376,journal376,2007
jv377,journal377,2003
jv378,journal378,2018
jv379,journal379,2005
jv380,journal380,2020
jv381,journal381,2019
jv382,journal382,2018
jv383,journal383,2005
